STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN012070800,"BOMBAY SANTACRUZ, IN",1/1/2000,0,78,93,
IN012070800,"BOMBAY SANTACRUZ, IN",1/2/2000,0,79,92,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/3/2000,0,79,92,
IN012070800,"BOMBAY SANTACRUZ, IN",1/4/2000,0,79,91,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/5/2000,0,79,91,64
IN012070800,"BOMBAY SANTACRUZ, IN",1/6/2000,0,78,91,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/7/2000,0,76,,
IN012070800,"BOMBAY SANTACRUZ, IN",1/8/2000,0,76,93,58
IN012070800,"BOMBAY SANTACRUZ, IN",1/9/2000,0,76,93,59
IN012070800,"BOMBAY SANTACRUZ, IN",1/10/2000,0,78,,60
IN012070800,"BOMBAY SANTACRUZ, IN",1/11/2000,0,79,88,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/12/2000,0,76,85,
IN012070800,"BOMBAY SANTACRUZ, IN",1/13/2000,0,76,,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/14/2000,,76,83,
IN012070800,"BOMBAY SANTACRUZ, IN",1/15/2000,,72,84,
IN012070800,"BOMBAY SANTACRUZ, IN",1/16/2000,,75,,56
IN012070800,"BOMBAY SANTACRUZ, IN",1/17/2000,,83,96,67
IN012070800,"BOMBAY SANTACRUZ, IN",1/18/2000,,84,,71
IN012070800,"BOMBAY SANTACRUZ, IN",1/19/2000,,84,96,69
IN012070800,"BOMBAY SANTACRUZ, IN",1/20/2000,,80,90,66
IN012070800,"BOMBAY SANTACRUZ, IN",1/21/2000,,76,83,64
IN012070800,"BOMBAY SANTACRUZ, IN",1/22/2000,,76,,64
IN012070800,"BOMBAY SANTACRUZ, IN",1/23/2000,,75,85,
IN012070800,"BOMBAY SANTACRUZ, IN",1/24/2000,,78,90,62
IN012070800,"BOMBAY SANTACRUZ, IN",1/25/2000,,79,92,
IN012070800,"BOMBAY SANTACRUZ, IN",1/26/2000,,78,91,62
IN012070800,"BOMBAY SANTACRUZ, IN",1/27/2000,,79,91,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/28/2000,,80,94,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/29/2000,,81,,67
IN012070800,"BOMBAY SANTACRUZ, IN",1/30/2000,,81,93,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/31/2000,,79,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/1/2000,,76,84,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/2/2000,,76,,66
IN012070800,"BOMBAY SANTACRUZ, IN",2/3/2000,,75,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/4/2000,,75,84,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/5/2000,,74,83,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/6/2000,,74,82,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/7/2000,,74,82,
IN012070800,"BOMBAY SANTACRUZ, IN",2/8/2000,,73,83,58
IN012070800,"BOMBAY SANTACRUZ, IN",2/9/2000,,74,,57
IN012070800,"BOMBAY SANTACRUZ, IN",2/10/2000,,74,84,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/11/2000,,74,81,
IN012070800,"BOMBAY SANTACRUZ, IN",2/12/2000,,73,83,63
IN012070800,"BOMBAY SANTACRUZ, IN",2/13/2000,,75,85,58
IN012070800,"BOMBAY SANTACRUZ, IN",2/14/2000,,79,,63
IN012070800,"BOMBAY SANTACRUZ, IN",2/15/2000,,82,92,68
IN012070800,"BOMBAY SANTACRUZ, IN",2/16/2000,,78,91,
IN012070800,"BOMBAY SANTACRUZ, IN",2/17/2000,,77,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/18/2000,,77,88,61
IN012070800,"BOMBAY SANTACRUZ, IN",2/19/2000,,75,83,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/20/2000,,74,82,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/21/2000,,75,82,66
IN012070800,"BOMBAY SANTACRUZ, IN",2/22/2000,,76,85,67
IN012070800,"BOMBAY SANTACRUZ, IN",2/23/2000,,77,86,
IN012070800,"BOMBAY SANTACRUZ, IN",2/24/2000,,78,89,67
IN012070800,"BOMBAY SANTACRUZ, IN",2/25/2000,,78,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/26/2000,,79,92,
IN012070800,"BOMBAY SANTACRUZ, IN",2/27/2000,,81,96,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/28/2000,,82,99,
IN012070800,"BOMBAY SANTACRUZ, IN",2/29/2000,,85,,66
IN012070800,"BOMBAY SANTACRUZ, IN",3/1/2000,,82,99,66
IN012070800,"BOMBAY SANTACRUZ, IN",3/2/2000,,79,92,63
IN012070800,"BOMBAY SANTACRUZ, IN",3/3/2000,,80,,65
IN012070800,"BOMBAY SANTACRUZ, IN",3/4/2000,,78,88,65
IN012070800,"BOMBAY SANTACRUZ, IN",3/5/2000,,76,85,
IN012070800,"BOMBAY SANTACRUZ, IN",3/6/2000,,76,83,61
IN012070800,"BOMBAY SANTACRUZ, IN",3/7/2000,,74,83,
IN012070800,"BOMBAY SANTACRUZ, IN",3/8/2000,,74,87,62
IN012070800,"BOMBAY SANTACRUZ, IN",3/9/2000,,78,88,59
IN012070800,"BOMBAY SANTACRUZ, IN",3/10/2000,,76,86,
IN012070800,"BOMBAY SANTACRUZ, IN",3/11/2000,,79,89,61
IN012070800,"BOMBAY SANTACRUZ, IN",3/12/2000,,80,88,68
IN012070800,"BOMBAY SANTACRUZ, IN",3/13/2000,,78,87,72
IN012070800,"BOMBAY SANTACRUZ, IN",3/14/2000,,78,86,
IN012070800,"BOMBAY SANTACRUZ, IN",3/15/2000,,78,87,67
IN012070800,"BOMBAY SANTACRUZ, IN",3/16/2000,,76,,67
IN012070800,"BOMBAY SANTACRUZ, IN",3/17/2000,,77,85,63
IN012070800,"BOMBAY SANTACRUZ, IN",3/18/2000,,80,87,66
IN012070800,"BOMBAY SANTACRUZ, IN",3/19/2000,,83,,69
IN012070800,"BOMBAY SANTACRUZ, IN",3/20/2000,,83,,65
IN012070800,"BOMBAY SANTACRUZ, IN",3/21/2000,,83,,64
IN012070800,"BOMBAY SANTACRUZ, IN",3/22/2000,,80,,66
IN012070800,"BOMBAY SANTACRUZ, IN",3/23/2000,,82,98,67
IN012070800,"BOMBAY SANTACRUZ, IN",3/24/2000,,87,103,67
IN012070800,"BOMBAY SANTACRUZ, IN",3/25/2000,,87,105,75
IN012070800,"BOMBAY SANTACRUZ, IN",3/26/2000,,83,,
IN012070800,"BOMBAY SANTACRUZ, IN",3/27/2000,,86,,70
IN012070800,"BOMBAY SANTACRUZ, IN",3/28/2000,,88,,72
IN012070800,"BOMBAY SANTACRUZ, IN",3/29/2000,,85,92,78
IN012070800,"BOMBAY SANTACRUZ, IN",3/30/2000,,84,96,
IN012070800,"BOMBAY SANTACRUZ, IN",3/31/2000,,84,91,73
IN012070800,"BOMBAY SANTACRUZ, IN",4/1/2000,,88,,72
IN012070800,"BOMBAY SANTACRUZ, IN",4/2/2000,,86,95,74
IN012070800,"BOMBAY SANTACRUZ, IN",4/3/2000,,84,91,74
IN012070800,"BOMBAY SANTACRUZ, IN",4/4/2000,,85,92,
IN012070800,"BOMBAY SANTACRUZ, IN",4/5/2000,,83,90,
IN012070800,"BOMBAY SANTACRUZ, IN",4/6/2000,,83,90,75
IN012070800,"BOMBAY SANTACRUZ, IN",4/7/2000,,85,93,76
IN012070800,"BOMBAY SANTACRUZ, IN",4/8/2000,,84,,
IN012070800,"BOMBAY SANTACRUZ, IN",4/9/2000,,84,91,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/10/2000,,83,92,
IN012070800,"BOMBAY SANTACRUZ, IN",4/11/2000,,83,91,71
IN012070800,"BOMBAY SANTACRUZ, IN",4/12/2000,,83,89,75
IN012070800,"BOMBAY SANTACRUZ, IN",4/13/2000,,84,91,76
IN012070800,"BOMBAY SANTACRUZ, IN",4/14/2000,,83,,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/15/2000,,84,90,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/16/2000,,83,90,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/17/2000,,83,90,76
IN012070800,"BOMBAY SANTACRUZ, IN",4/18/2000,,84,90,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/19/2000,,85,,79
IN012070800,"BOMBAY SANTACRUZ, IN",4/20/2000,,85,92,76
IN012070800,"BOMBAY SANTACRUZ, IN",4/21/2000,,83,90,76
IN012070800,"BOMBAY SANTACRUZ, IN",4/22/2000,,83,,78
IN012070800,"BOMBAY SANTACRUZ, IN",4/23/2000,,84,91,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/24/2000,,84,,78
IN012070800,"BOMBAY SANTACRUZ, IN",4/25/2000,,84,91,
IN012070800,"BOMBAY SANTACRUZ, IN",4/26/2000,,85,90,78
IN012070800,"BOMBAY SANTACRUZ, IN",4/27/2000,,84,91,79
IN012070800,"BOMBAY SANTACRUZ, IN",4/28/2000,,84,92,76
IN012070800,"BOMBAY SANTACRUZ, IN",4/29/2000,,85,,77
IN012070800,"BOMBAY SANTACRUZ, IN",4/30/2000,,85,,78
IN012070800,"BOMBAY SANTACRUZ, IN",5/1/2000,,83,90,77
IN012070800,"BOMBAY SANTACRUZ, IN",5/2/2000,,83,90,75
IN012070800,"BOMBAY SANTACRUZ, IN",5/3/2000,,84,90,79
IN012070800,"BOMBAY SANTACRUZ, IN",5/4/2000,,84,91,79
IN012070800,"BOMBAY SANTACRUZ, IN",5/5/2000,,85,91,78
IN012070800,"BOMBAY SANTACRUZ, IN",5/6/2000,,85,90,
IN012070800,"BOMBAY SANTACRUZ, IN",5/7/2000,,85,92,
IN012070800,"BOMBAY SANTACRUZ, IN",5/8/2000,,85,91,81
IN012070800,"BOMBAY SANTACRUZ, IN",5/9/2000,,85,91,
IN012070800,"BOMBAY SANTACRUZ, IN",5/10/2000,,85,91,78
IN012070800,"BOMBAY SANTACRUZ, IN",5/11/2000,,85,91,81
IN012070800,"BOMBAY SANTACRUZ, IN",5/12/2000,,86,92,
IN012070800,"BOMBAY SANTACRUZ, IN",5/13/2000,,85,94,80
IN012070800,"BOMBAY SANTACRUZ, IN",5/14/2000,,86,93,80
IN012070800,"BOMBAY SANTACRUZ, IN",5/15/2000,,87,95,
IN012070800,"BOMBAY SANTACRUZ, IN",5/16/2000,0,84,93,
IN012070800,"BOMBAY SANTACRUZ, IN",5/17/2000,0.75,82,91,75
IN012070800,"BOMBAY SANTACRUZ, IN",5/18/2000,0,76,,
IN012070800,"BOMBAY SANTACRUZ, IN",5/19/2000,7.52,82,90,
IN012070800,"BOMBAY SANTACRUZ, IN",5/20/2000,0.16,85,91,81
IN012070800,"BOMBAY SANTACRUZ, IN",5/21/2000,0,85,91,80
IN012070800,"BOMBAY SANTACRUZ, IN",5/22/2000,,85,91,
IN012070800,"BOMBAY SANTACRUZ, IN",5/23/2000,0.04,86,91,80
IN012070800,"BOMBAY SANTACRUZ, IN",5/24/2000,0.02,87,91,82
IN012070800,"BOMBAY SANTACRUZ, IN",5/25/2000,0,87,92,82
IN012070800,"BOMBAY SANTACRUZ, IN",5/26/2000,0.08,87,91,83
IN012070800,"BOMBAY SANTACRUZ, IN",5/27/2000,0,86,92,
IN012070800,"BOMBAY SANTACRUZ, IN",5/28/2000,0.47,84,90,78
IN012070800,"BOMBAY SANTACRUZ, IN",5/29/2000,0,86,92,80
IN012070800,"BOMBAY SANTACRUZ, IN",5/30/2000,0.59,86,90,78
IN012070800,"BOMBAY SANTACRUZ, IN",5/31/2000,0.2,86,91,80
IN012070800,"BOMBAY SANTACRUZ, IN",6/1/2000,0.28,83,92,
IN012070800,"BOMBAY SANTACRUZ, IN",6/2/2000,0.31,82,87,75
IN012070800,"BOMBAY SANTACRUZ, IN",6/3/2000,0.16,86,91,78
IN012070800,"BOMBAY SANTACRUZ, IN",6/4/2000,0.94,84,88,76
IN012070800,"BOMBAY SANTACRUZ, IN",6/5/2000,0.01,85,,
IN012070800,"BOMBAY SANTACRUZ, IN",6/6/2000,1.22,82,87,74
IN012070800,"BOMBAY SANTACRUZ, IN",6/7/2000,0.02,83,89,78
IN012070800,"BOMBAY SANTACRUZ, IN",6/8/2000,0.16,80,,
IN012070800,"BOMBAY SANTACRUZ, IN",6/9/2000,6.02,85,,76
IN012070800,"BOMBAY SANTACRUZ, IN",6/10/2000,0.04,85,,82
IN012070800,"BOMBAY SANTACRUZ, IN",6/11/2000,0,86,91,83
IN012070800,"BOMBAY SANTACRUZ, IN",6/12/2000,,85,90,
IN012070800,"BOMBAY SANTACRUZ, IN",6/13/2000,0.12,85,90,
IN012070800,"BOMBAY SANTACRUZ, IN",6/14/2000,0.02,85,90,80
IN012070800,"BOMBAY SANTACRUZ, IN",6/15/2000,0,84,91,
IN012070800,"BOMBAY SANTACRUZ, IN",6/16/2000,0,84,91,
IN012070800,"BOMBAY SANTACRUZ, IN",6/17/2000,,85,90,82
IN012070800,"BOMBAY SANTACRUZ, IN",6/18/2000,,85,90,82
IN012070800,"BOMBAY SANTACRUZ, IN",6/19/2000,,85,91,82
IN012070800,"BOMBAY SANTACRUZ, IN",6/20/2000,,86,90,83
IN012070800,"BOMBAY SANTACRUZ, IN",6/21/2000,,86,91,83
IN012070800,"BOMBAY SANTACRUZ, IN",6/22/2000,,85,91,
IN012070800,"BOMBAY SANTACRUZ, IN",6/23/2000,0.08,85,90,79
IN012070800,"BOMBAY SANTACRUZ, IN",6/24/2000,0.43,84,91,78
IN012070800,"BOMBAY SANTACRUZ, IN",6/25/2000,0.12,84,90,
IN012070800,"BOMBAY SANTACRUZ, IN",6/26/2000,0.63,83,89,76
IN012070800,"BOMBAY SANTACRUZ, IN",6/27/2000,0.2,83,89,78
IN012070800,"BOMBAY SANTACRUZ, IN",6/28/2000,0.75,83,88,77
IN012070800,"BOMBAY SANTACRUZ, IN",6/29/2000,0,83,,
IN012070800,"BOMBAY SANTACRUZ, IN",6/30/2000,1.73,81,87,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/1/2000,0.83,81,,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/2/2000,0.55,81,82,77
IN012070800,"BOMBAY SANTACRUZ, IN",7/3/2000,0.91,80,,
IN012070800,"BOMBAY SANTACRUZ, IN",7/4/2000,7.68,82,,75
IN012070800,"BOMBAY SANTACRUZ, IN",7/5/2000,1.34,82,85,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/6/2000,1.97,82,87,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/7/2000,2.44,82,86,77
IN012070800,"BOMBAY SANTACRUZ, IN",7/8/2000,7.32,80,83,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/9/2000,3.58,81,,75
IN012070800,"BOMBAY SANTACRUZ, IN",7/10/2000,2.95,82,,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/11/2000,0.31,82,,
IN012070800,"BOMBAY SANTACRUZ, IN",7/12/2000,3.19,78,,76
IN012070800,"BOMBAY SANTACRUZ, IN",7/13/2000,13.82,79,,77
IN012070800,"BOMBAY SANTACRUZ, IN",7/14/2000,0.67,81,87,
IN012070800,"BOMBAY SANTACRUZ, IN",7/15/2000,0.12,82,,
IN012070800,"BOMBAY SANTACRUZ, IN",7/16/2000,0.28,82,,
IN012070800,"BOMBAY SANTACRUZ, IN",7/17/2000,0,83,87,
IN012070800,"BOMBAY SANTACRUZ, IN",7/18/2000,0.02,81,84,78
IN012070800,"BOMBAY SANTACRUZ, IN",7/19/2000,0.16,82,86,
IN012070800,"BOMBAY SANTACRUZ, IN",7/20/2000,0.12,83,88,78
IN012070800,"BOMBAY SANTACRUZ, IN",7/21/2000,0.16,83,88,79
IN012070800,"BOMBAY SANTACRUZ, IN",7/22/2000,0.01,83,88,79
IN012070800,"BOMBAY SANTACRUZ, IN",7/23/2000,0,83,88,80
IN012070800,"BOMBAY SANTACRUZ, IN",7/24/2000,0.01,82,88,
IN012070800,"BOMBAY SANTACRUZ, IN",7/25/2000,0,83,88,
IN012070800,"BOMBAY SANTACRUZ, IN",7/26/2000,,83,88,
IN012070800,"BOMBAY SANTACRUZ, IN",7/27/2000,,84,89,80
IN012070800,"BOMBAY SANTACRUZ, IN",7/28/2000,,84,89,80
IN012070800,"BOMBAY SANTACRUZ, IN",7/29/2000,0,85,89,81
IN012070800,"BOMBAY SANTACRUZ, IN",7/30/2000,,84,,81
IN012070800,"BOMBAY SANTACRUZ, IN",7/31/2000,,84,,81
IN012070800,"BOMBAY SANTACRUZ, IN",8/1/2000,0,85,,79
IN012070800,"BOMBAY SANTACRUZ, IN",8/2/2000,0,86,,
IN012070800,"BOMBAY SANTACRUZ, IN",8/3/2000,0.01,87,90,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/4/2000,0.2,86,,78
IN012070800,"BOMBAY SANTACRUZ, IN",8/5/2000,0.31,87,,
IN012070800,"BOMBAY SANTACRUZ, IN",8/6/2000,0,88,,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/7/2000,,87,,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/8/2000,,88,,81
IN012070800,"BOMBAY SANTACRUZ, IN",8/9/2000,0.02,86,,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/10/2000,0.02,83,,
IN012070800,"BOMBAY SANTACRUZ, IN",8/11/2000,0,82,,75
IN012070800,"BOMBAY SANTACRUZ, IN",8/12/2000,,83,,75
IN012070800,"BOMBAY SANTACRUZ, IN",8/13/2000,,85,88,79
IN012070800,"BOMBAY SANTACRUZ, IN",8/14/2000,,87,,78
IN012070800,"BOMBAY SANTACRUZ, IN",8/15/2000,,87,,78
IN012070800,"BOMBAY SANTACRUZ, IN",8/16/2000,0.08,87,,78
IN012070800,"BOMBAY SANTACRUZ, IN",8/17/2000,0.16,87,,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/18/2000,0.12,88,,78
IN012070800,"BOMBAY SANTACRUZ, IN",8/19/2000,0.2,87,,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/20/2000,0.08,87,,80
IN012070800,"BOMBAY SANTACRUZ, IN",8/21/2000,0.12,82,,
IN012070800,"BOMBAY SANTACRUZ, IN",8/22/2000,0.71,83,,76
IN012070800,"BOMBAY SANTACRUZ, IN",8/23/2000,1.5,82,,76
IN012070800,"BOMBAY SANTACRUZ, IN",8/24/2000,1.14,80,,
IN012070800,"BOMBAY SANTACRUZ, IN",8/25/2000,2.91,82,89,77
IN012070800,"BOMBAY SANTACRUZ, IN",8/26/2000,0.12,80,84,78
IN012070800,"BOMBAY SANTACRUZ, IN",8/27/2000,0.55,79,86,
IN012070800,"BOMBAY SANTACRUZ, IN",8/28/2000,2.52,79,84,76
IN012070800,"BOMBAY SANTACRUZ, IN",8/29/2000,1.1,79,85,76
IN012070800,"BOMBAY SANTACRUZ, IN",8/30/2000,0.55,81,87,
IN012070800,"BOMBAY SANTACRUZ, IN",8/31/2000,0.28,80,88,
IN012070800,"BOMBAY SANTACRUZ, IN",9/1/2000,1.02,80,86,75
IN012070800,"BOMBAY SANTACRUZ, IN",9/2/2000,0.28,82,88,76
IN012070800,"BOMBAY SANTACRUZ, IN",9/3/2000,0.24,81,87,78
IN012070800,"BOMBAY SANTACRUZ, IN",9/4/2000,0.04,82,88,
IN012070800,"BOMBAY SANTACRUZ, IN",9/5/2000,0.12,82,,78
IN012070800,"BOMBAY SANTACRUZ, IN",9/6/2000,0.08,82,88,79
IN012070800,"BOMBAY SANTACRUZ, IN",9/7/2000,0,82,88,79
IN012070800,"BOMBAY SANTACRUZ, IN",9/8/2000,0.04,83,88,79
IN012070800,"BOMBAY SANTACRUZ, IN",9/9/2000,0.03,83,89,79
IN012070800,"BOMBAY SANTACRUZ, IN",9/10/2000,0,83,89,
IN012070800,"BOMBAY SANTACRUZ, IN",9/11/2000,0.04,83,88,
IN012070800,"BOMBAY SANTACRUZ, IN",9/12/2000,0.01,83,88,78
IN012070800,"BOMBAY SANTACRUZ, IN",9/13/2000,0,84,,77
IN012070800,"BOMBAY SANTACRUZ, IN",9/14/2000,,84,,
IN012070800,"BOMBAY SANTACRUZ, IN",9/15/2000,,84,89,77
IN012070800,"BOMBAY SANTACRUZ, IN",9/16/2000,,83,,77
IN012070800,"BOMBAY SANTACRUZ, IN",9/17/2000,,83,,
IN012070800,"BOMBAY SANTACRUZ, IN",9/18/2000,,83,88,
IN012070800,"BOMBAY SANTACRUZ, IN",9/19/2000,,83,89,
IN012070800,"BOMBAY SANTACRUZ, IN",9/20/2000,,84,90,75
IN012070800,"BOMBAY SANTACRUZ, IN",9/21/2000,,83,92,
IN012070800,"BOMBAY SANTACRUZ, IN",9/22/2000,,84,92,
IN012070800,"BOMBAY SANTACRUZ, IN",9/23/2000,,85,94,74
IN012070800,"BOMBAY SANTACRUZ, IN",9/24/2000,,86,92,79
IN012070800,"BOMBAY SANTACRUZ, IN",9/25/2000,,85,,77
IN012070800,"BOMBAY SANTACRUZ, IN",9/26/2000,,84,92,
IN012070800,"BOMBAY SANTACRUZ, IN",9/27/2000,,83,93,74
IN012070800,"BOMBAY SANTACRUZ, IN",9/28/2000,0,82,91,
IN012070800,"BOMBAY SANTACRUZ, IN",9/29/2000,,82,92,
IN012070800,"BOMBAY SANTACRUZ, IN",9/30/2000,,82,91,
IN012070800,"BOMBAY SANTACRUZ, IN",10/1/2000,,84,92,
IN012070800,"BOMBAY SANTACRUZ, IN",10/2/2000,,83,91,74
IN012070800,"BOMBAY SANTACRUZ, IN",10/3/2000,,83,93,
IN012070800,"BOMBAY SANTACRUZ, IN",10/4/2000,,84,91,
IN012070800,"BOMBAY SANTACRUZ, IN",10/5/2000,,83,,77
IN012070800,"BOMBAY SANTACRUZ, IN",10/6/2000,,85,90,69
IN012070800,"BOMBAY SANTACRUZ, IN",10/7/2000,,84,90,
IN012070800,"BOMBAY SANTACRUZ, IN",10/8/2000,0.12,82,90,75
IN012070800,"BOMBAY SANTACRUZ, IN",10/9/2000,0.12,84,,74
IN012070800,"BOMBAY SANTACRUZ, IN",10/10/2000,0.01,84,92,75
IN012070800,"BOMBAY SANTACRUZ, IN",10/11/2000,0,83,90,
IN012070800,"BOMBAY SANTACRUZ, IN",10/12/2000,1.54,82,89,74
IN012070800,"BOMBAY SANTACRUZ, IN",10/13/2000,0,84,91,77
IN012070800,"BOMBAY SANTACRUZ, IN",10/14/2000,,84,91,78
IN012070800,"BOMBAY SANTACRUZ, IN",10/15/2000,,85,,80
IN012070800,"BOMBAY SANTACRUZ, IN",10/16/2000,,86,,76
IN012070800,"BOMBAY SANTACRUZ, IN",10/17/2000,,83,96,73
IN012070800,"BOMBAY SANTACRUZ, IN",10/18/2000,,81,93,
IN012070800,"BOMBAY SANTACRUZ, IN",10/19/2000,,83,92,72
IN012070800,"BOMBAY SANTACRUZ, IN",10/20/2000,,84,92,79
IN012070800,"BOMBAY SANTACRUZ, IN",10/21/2000,,83,92,79
IN012070800,"BOMBAY SANTACRUZ, IN",10/22/2000,,84,91,
IN012070800,"BOMBAY SANTACRUZ, IN",10/23/2000,,83,91,
IN012070800,"BOMBAY SANTACRUZ, IN",10/24/2000,,82,91,
IN012070800,"BOMBAY SANTACRUZ, IN",10/25/2000,,82,93,
IN012070800,"BOMBAY SANTACRUZ, IN",10/26/2000,,84,95,73
IN012070800,"BOMBAY SANTACRUZ, IN",10/27/2000,,84,97,
IN012070800,"BOMBAY SANTACRUZ, IN",10/28/2000,,82,94,71
IN012070800,"BOMBAY SANTACRUZ, IN",10/29/2000,,82,93,73
IN012070800,"BOMBAY SANTACRUZ, IN",10/30/2000,,82,93,
IN012070800,"BOMBAY SANTACRUZ, IN",10/31/2000,,83,95,70
IN012070800,"BOMBAY SANTACRUZ, IN",11/1/2000,,82,95,69
IN012070800,"BOMBAY SANTACRUZ, IN",11/2/2000,,83,97,71
IN012070800,"BOMBAY SANTACRUZ, IN",11/3/2000,,83,97,71
IN012070800,"BOMBAY SANTACRUZ, IN",11/4/2000,,81,93,
IN012070800,"BOMBAY SANTACRUZ, IN",11/5/2000,,81,93,74
IN012070800,"BOMBAY SANTACRUZ, IN",11/6/2000,,82,95,75
IN012070800,"BOMBAY SANTACRUZ, IN",11/7/2000,,81,92,
IN012070800,"BOMBAY SANTACRUZ, IN",11/8/2000,,81,97,
IN012070800,"BOMBAY SANTACRUZ, IN",11/9/2000,,81,95,72
IN012070800,"BOMBAY SANTACRUZ, IN",11/10/2000,,83,,70
IN012070800,"BOMBAY SANTACRUZ, IN",11/11/2000,,82,,70
IN012070800,"BOMBAY SANTACRUZ, IN",11/12/2000,,82,96,69
IN012070800,"BOMBAY SANTACRUZ, IN",11/13/2000,,82,95,69
IN012070800,"BOMBAY SANTACRUZ, IN",11/14/2000,,82,96,71
IN012070800,"BOMBAY SANTACRUZ, IN",11/15/2000,,83,96,71
IN012070800,"BOMBAY SANTACRUZ, IN",11/16/2000,,81,95,69
IN012070800,"BOMBAY SANTACRUZ, IN",11/17/2000,,82,,
IN012070800,"BOMBAY SANTACRUZ, IN",11/18/2000,,81,,65
IN012070800,"BOMBAY SANTACRUZ, IN",11/19/2000,,80,90,67
IN012070800,"BOMBAY SANTACRUZ, IN",11/20/2000,,79,92,65
IN012070800,"BOMBAY SANTACRUZ, IN",11/21/2000,,79,90,63
IN012070800,"BOMBAY SANTACRUZ, IN",11/22/2000,,82,96,64
IN012070800,"BOMBAY SANTACRUZ, IN",11/23/2000,,84,,68
IN012070800,"BOMBAY SANTACRUZ, IN",11/24/2000,,83,,
IN012070800,"BOMBAY SANTACRUZ, IN",11/25/2000,,81,95,66
IN012070800,"BOMBAY SANTACRUZ, IN",11/26/2000,,80,93,64
IN012070800,"BOMBAY SANTACRUZ, IN",11/27/2000,,80,,65
IN012070800,"BOMBAY SANTACRUZ, IN",11/28/2000,,80,90,68
IN012070800,"BOMBAY SANTACRUZ, IN",11/29/2000,,81,,64
IN012070800,"BOMBAY SANTACRUZ, IN",11/30/2000,,78,92,65
IN012070800,"BOMBAY SANTACRUZ, IN",12/1/2000,,81,93,67
IN012070800,"BOMBAY SANTACRUZ, IN",12/2/2000,,83,,73
IN012070800,"BOMBAY SANTACRUZ, IN",12/3/2000,,82,93,
IN012070800,"BOMBAY SANTACRUZ, IN",12/4/2000,,81,95,
IN012070800,"BOMBAY SANTACRUZ, IN",12/5/2000,,80,94,62
IN012070800,"BOMBAY SANTACRUZ, IN",12/6/2000,,79,91,62
IN012070800,"BOMBAY SANTACRUZ, IN",12/7/2000,,78,,59
IN012070800,"BOMBAY SANTACRUZ, IN",12/8/2000,,79,93,60
IN012070800,"BOMBAY SANTACRUZ, IN",12/9/2000,,78,93,61
IN012070800,"BOMBAY SANTACRUZ, IN",12/10/2000,,78,94,
IN012070800,"BOMBAY SANTACRUZ, IN",12/11/2000,,77,94,61
IN012070800,"BOMBAY SANTACRUZ, IN",12/12/2000,,78,93,61
IN012070800,"BOMBAY SANTACRUZ, IN",12/13/2000,,77,,61
IN012070800,"BOMBAY SANTACRUZ, IN",12/14/2000,,77,92,58
IN012070800,"BOMBAY SANTACRUZ, IN",12/15/2000,,76,94,59
IN012070800,"BOMBAY SANTACRUZ, IN",12/16/2000,,77,95,59
IN012070800,"BOMBAY SANTACRUZ, IN",12/17/2000,,78,92,61
IN012070800,"BOMBAY SANTACRUZ, IN",12/18/2000,,76,89,58
IN012070800,"BOMBAY SANTACRUZ, IN",12/19/2000,,77,93,59
IN012070800,"BOMBAY SANTACRUZ, IN",12/20/2000,,78,95,59
